# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-91_Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0_Paenibacillus.txt
# >> Input file for samples to taxa matrix: composition_otu_matched.csv
# >> Identifiers of the clusters: 
# >> :  1 2 3 5 8 13 14 16 17 18 20 22 23 24 27 28 35 39 45
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-91_AbundCum.dat
# >> Running at date:  (mm,dd,yy) 4, 3, 2021, and time: 1:6:13,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C1	C2	C3	C5	C8	C13	C14	C16	C17	C18	C20	C22	C23	C24	C27	C28	C35	C39	C45	Total 
BB33	4451.09882744869	4497.64818360588	4502.81866760092	4505.3035742507	4505.3035742507	4505.3035742507	4516.30433986889	4516.99748704945	4520.58100598791	4558.47261843322	4592.66967585533	4592.66967585533	4594.05597021645	4594.05597021645	4601.12584434491	4605.69019253638	4609.09138991804	4612.82905953633	4619.29052771268	226.516712304121
BB75	4621.36996925436	4675.89181597604	4676.5849631566	4690.2310889159	4690.2310889159	4690.2310889159	4705.05958124989	4710.86169962526	4711.96031191393	4727.2470460438	4743.84756784401	4743.84756784401	4746.7379396019	4751.66519328706	4757.14165683899	4757.83480401955	4757.83480401955	4764.73855127714	4774.89435275829	289.720181083068
BCW08	4775.58749993885	4796.36485388106	4797.05800106162	4797.75114824218	4797.75114824218	4798.44429542274	4802.22848505666	4806.05712645315	4806.05712645315	4824.02659297613	4840.31477564622	4841.00792282678	4843.20514740411	4843.20514740411	4844.81458531655	4844.81458531655	4844.81458531655	4848.80356936311	4888.13894946913	165.147528492913
BB12	4892.92644121191	4957.81606708039	4959.89550862207	4962.66809734431	4964.86532192164	4966.65708139087	4967.35022857143	4975.59508796734	4982.25949698769	5027.98942375671	5063.40227848344	5065.59950306078	5068.48987481868	5073.9279541276	5076.92368640115	5078.71544587038	5080.1017402315	5086.61645292237	5096.30736587495	361.09041103394
WYD07	5099.60320274095	5167.53726827569	5168.23041545625	5170.02217492548	5173.48791082828	5175.27967029751	5176.37828258617	5182.73439024687	5187.70420354645	5229.9938855956	5266.16924226642	5266.86238944698	5271.5445206741	5274.72257450445	5286.41757149496	5288.20933096419	5288.20933096419	5302.50206899649	5309.6691068734	296.827120168451
BB90	5309.6691068734	5376.47173394872	5377.57034623739	5382.84846089662	5382.84846089662	5382.84846089662	5383.54160807718	5384.64022036585	5386.24965827828	5398.17156267066	5449.94980873942	5449.94980873942	5451.33610310054	5458.43942516307	5460.2311846323	5466.08338711207	5466.08338711207	5467.8751465813	5477.69850808936	226.699412965633
PH24	5480.95660462738	5506.95815644602	5510.35935382768	5517.13357771404	5517.13357771404	5517.13357771404	5519.21301925572	5523.20200330229	5523.20200330229	5536.15934108171	5585.01005577404	5585.01005577404	5586.80181524327	5586.80181524327	5588.18810960439	5594.87272133206	5596.25901569318	5603.34909252895	5621.80044427196	248.297152174932
WYT96	5623.18673863308	5670.82733303379	5671.52048021435	5673.31223968357	5673.31223968357	5676.08482840581	5676.77797558637	5681.20879238522	5683.51137747821	5724.3333071476	5761.56294004916	5762.25608722972	5762.25608722972	5765.14645898762	5768.83533844173	5770.62709791096	5772.01339227208	5781.20638300572	5784.25090544345	257.848378045155
PH01	5786.04266491267	5835.95499476182	5835.95499476182	5836.64814194238	5837.34128912294	5839.82619577273	5842.31110242252	5847.41704789642	5851.1547175147	5904.50021033341	5935.91459070467	5936.60773788523	5938.21717579767	5938.21717579767	5941.21290807122	5944.39096190157	5945.08410908213	5949.68927926812	5961.05602222291	290.312983152464
AE86	5962.44231658403	6022.46833171763	6026.05185065608	6028.44974592888	6029.14289310944	6029.14289310944	6029.14289310944	6037.7164666343	6040.48905535654	6087.72692161602	6105.20291215358	6105.89605933414	6116.16168687005	6120.03288788096	6122.51779453074	6122.51779453074	6122.51779453074	6127.96453190241	6132.93434520199	232.57534228226
