community,sbw25.cfu.24h,sbw25.cfu.96h,sbw25.cfu.7d,kt2440.cfu.24h,kt2440.cfu.96h,kt2440.cfu.7d
WYT05,10970.67816,5361.508347,2627.109787,5648.553772,4554.781624,5139.20007
WYT06,8726.992748,3633.082838,5067.332979,6517.889569,2558.864999,5139.20007
WYT07,8884.89798,5067.332979,3914.653454,10170.77525,2558.864999,8315.942193
WYT08,6559.42188,5214.139736,2273.04561,3893.965628,6300.979262,5139.20007
WYT09,20690.97204,10161.45919,8307.812915,4334.928884,5648.553772,10312.90861
WYT10,74568.60786,18928.79545,9148.917406,1654.707322,4993.336162,6590.133557
WYT100,4775.452889,5067.332979,2806.655955,2108.584595,8888.142128,6011.335558
WYT101,39864.449,12834.5048,6660.682124,5430.475662,3672.804842,8315.942193
WYT102,11623.95604,8937.617946,4872.485151,3893.965628,6300.979262,5721.17706
WYT103,8884.89798,4485.969635,1926.317549,3228.974531,7454.880374,8029.303812
WYT104,52707.6194,7478.097603,4103.915537,4993.336162,2782.879752,6878.821474
WYT105,22294.56051,4678.686857,2987.771737,3672.804842,8029.303812,12013.16855
WYT106,8726.992748,4872.485151,2806.655955,4334.928884,1882.150821,6011.335558
WYT107,16843.30779,6256.918129,5263.200747,5212.074645,7742.28822,9743.931799
WYT108,13613.08426,11079.20088,2273.04561,3006.231993,8888.142128,7454.880374
WYT109,13111.85481,9573.49395,4872.485151,3672.804842,6011.335558,8315.942193
WYT110,6711.390716,4872.485151,3354.438517,2108.584595,7454.880374,4261.554343
WYT111,8099.283359,3914.653454,4485.969635,4334.928884,7742.28822,5430.475662
WYT112,34112.13568,11733.32845,8099.283359,7814.078284,6590.133557,1882.150821
WYT113,99095.95115,13948.63677,3539.86804,19639.00822,7167.064008,3080.544881
WYT114,40446.20406,11952.48698,2987.771737,16925.80657,1882.150821,6590.133557
WYT115,90816.70734,11296.67764,8307.812915,5430.475662,7167.064008,6011.335558
WYT13,16155.6466,5657.886392,1422.135573,8029.303812,2782.879752,10028.56875
WYT14,13445.72534,5956.382312,2987.771737,9316.398776,9316.398776,1882.150821
WYT15,10276.54454,11296.67764,2897.022185,6920.025781,10596.96018,4554.781624
WYT16,7787.851729,5956.382312,2273.04561,4774.244306,4114.66479,5721.17706
WYT17,8726.992748,4630.404923,6056.337933,8029.303812,4114.66479,5721.17706
WYT19,82424.73409,14961.79899,6056.337933,10383.9482,6517.889569,4554.781624
WYT20,46917.96405,10161.45919,6458.372853,32211.59794,1654.707322,5430.475662
WYT21,42588.92937,5956.382312,5067.332979,34864.81726,3228.974531,4847.315232
WYT22,10000.63605,6106.399863,3354.438517,5212.074645,4114.66479,5139.20007
WYT23,3493.38444,457.3677772,787.6816644,3006.231993,4554.781624,2782.879752
WYT24,6106.399863,3633.082838,4678.686857,5866.322346,3451.152484,5430.475662
WYT25,11952.48698,4630.404923,6056.337933,5866.322346,5212.074645,4847.315232
WYT26,7943.360882,2537.949228,3539.86804,8459.124327,7167.064008,2782.879752
WYT27,23012.38108,6407.928295,4103.915537,24819.54752,3672.804842,5721.17706
WYT28,433632.8361,101730.4209,28612.1445,340793.0016,9957.437716,5430.475662
WYT29,592611.968,83280.33253,36909.22026,334794.334,17762.2341,7742.28822
WYT30,6256.918129,5067.332979,4294.367171,4774.244306,2782.879752,7167.064008
WYT31,5509.427505,2273.04561,2098.711228,2558.864999,4114.66479,4554.781624
WYT32,31846.39147,10000.63605,8517.05364,18388.60072,1654.707322,7167.064008
WYT33,10645.9852,1883.536669,6056.337933,5430.475662,2108.584595,4847.315232
WYT34,6863.826931,3773.512494,3170.387105,9102.363163,4114.66479,1578.64366
WYT36,29974.74716,6711.390716,3170.387105,27702.72509,5212.074645,3672.804842
WYT37,31846.39147,8569.473432,3914.653454,30165.20195,6517.889569,7167.064008
WYT38,6407.928295,3354.438517,3170.387105,4334.928884,3228.974531,4261.554343
WYT39,10000.63605,4630.404923,5067.332979,4774.244306,4114.66479,4261.554343
WYT40,9680.042191,3633.082838,4678.686857,8888.142128,3228.974531,6590.133557
WYT41,17708.24764,7016.722931,5657.886392,7382.965246,2558.864999,5139.20007
WYT42,8412.345192,3354.438517,2273.04561,9102.363163,2782.879752,4261.554343
WYT43,10645.9852,3493.38444,1926.317549,5430.475662,4334.928884,3967.581932
WYT44,6407.928295,1504.695226,2098.711228,4554.781624,5430.475662,4554.781624
WYT45,9840.162338,4630.404923,2987.771737,7814.078284,2108.584595,6300.979262
WYT46,9520.279867,5806.874641,3914.653454,5430.475662,4334.928884,3672.804842
WYT47,75835.27846,19807.22972,10000.63605,8673.730867,2558.864999,1272.95896
WYT48,11133.51634,3354.438517,5460.060625,6734.534456,3228.974531,3672.804842
WYT49,9840.162338,4485.969635,2627.109787,6300.979262,4554.781624,4847.315232
WYT50,4485.969635,2142.117415,3170.387105,6083.793711,2108.584595,5721.17706
WYT51,10000.63605,2671.845075,2987.771737,4114.66479,3006.231993,6590.133557
WYT52,7632.761904,2142.117415,2449.210834,4554.781624,4774.244306,964.5194519
WYT53,11460.15865,6256.918129,5067.332979,8888.142128,2108.584595,4261.554343
WYT54,11623.95604,5806.874641,3170.387105,5212.074645,6950.923083,6878.821474
WYT55,9680.042191,6863.826931,4485.969635,8888.142128,0,1272.95896
WYT56,17361.56887,8099.283359,5067.332979,7598.634315,5430.475662,2484.035699
WYT57,20868.34263,7016.722931,7067.789166,5866.322346,6300.979262,1272.95896
WYT58,9680.042191,3216.267682,4485.969635,4774.244306,2334.125101,3967.581932
WYT59,90600.16788,38897.41276,18288.0868,3672.804842,6083.793711,5430.475662
WYT60,22832.63775,6711.390716,6863.826931,21301.7005,4993.336162,3377.153379
WYT61,30908.65092,10484.13765,8517.05364,13563.94167,5648.553772,3377.153379
WYT62,414954.0727,118848.4582,37933.62103,94510.64374,15668.27992,10028.56875
WYT64,83708.57924,13056.32068,4485.969635,9957.437716,9458.988437,5721.17706
WYT65,448117.2349,29354.31889,4103.915537,6300.979262,6011.335558,3967.581932
WYT66,75623.96636,8937.617946,1422.135573,4993.336162,7454.880374,5139.20007
WYT67,43567.78769,10215.14385,3539.86804,4774.244306,8888.142128,7167.064008
WYT69,8255.613344,3914.653454,5067.332979,3672.804842,6878.821474,10880.73175
WYT71,17534.79225,6863.826931,7067.789166,4774.244306,7454.880374,3967.581932
WYT72,14454.01574,5067.332979,2449.210834,3451.152484,8602.217309,8602.217309
WYT73,33543.73148,5657.886392,4103.915537,5212.074645,6590.133557,6590.133557
WYT74,14116.82546,5067.332979,5067.332979,3893.965628,8315.942193,5139.20007
WYT75,24275.85301,6660.682124,4294.367171,6734.534456,8029.303812,9173.728739
WYT76,7016.722931,3914.653454,5460.060625,5212.074645,5721.17706,7167.064008
WYT77,7016.722931,3539.86804,4294.367171,3672.804842,8888.142128,6878.821474
WYT78,78589.53523,5067.332979,4872.485151,9743.931799,3080.544881,7167.064008
WYT79,12447.57709,4294.367171,6256.918129,5648.553772,4261.554343,5139.20007
WYT80,8412.345192,4485.969635,2627.109787,2558.864999,6590.133557,7167.064008
WYT81,8569.473432,3170.387105,4294.367171,6950.923083,4847.315232,8029.303812
WYT82,6256.918129,5856.653297,6056.337933,2558.864999,8029.303812,5139.20007
WYT83,6256.918129,4678.686857,2987.771737,4334.928884,6590.133557,4554.781624
WYT84,33543.73148,9786.749463,8937.617946,19222.54076,4847.315232,6878.821474
WYT85,14116.82546,6458.372853,5657.886392,5648.553772,7167.064008,2484.035699
WYT86,1199907.21,15074.96015,7478.097603,23993.57224,5721.17706,8888.142128
WYT88,18055.84785,6256.918129,4872.485151,3451.152484,6878.821474,6590.133557
WYT89,41808.02684,3914.653454,5263.200747,7167.064008,4554.781624,11447.46578
WYT90,10000.63605,5657.886392,5263.200747,2558.864999,7167.064008,10880.73175
WYT91,16843.30779,7067.789166,4872.485151,8673.730867,4847.315232,2782.879752
WYT92,28673.89382,11514.72279,7891.47828,6300.979262,3080.544881,5721.17706
WYT93,52305.44074,13948.63677,8307.812915,7598.634315,5430.475662,2782.879752
WYT96,8255.613344,4678.686857,4678.686857,6950.923083,3672.804842,8029.303812
WYT97,18229.98941,5263.200747,5856.653297,9102.363163,4847.315232,8888.142128
WYT99,9201.84628,3539.86804,2987.771737,8673.730867,9173.728739,6590.133557
