Community,kt2440.cfu.24h,kt2440.cfu.96h,kt2440.cfu.7d,sbw25.cfu.24h,sbw25.cfu.96h,sbw25.cfu.7d
WiW30,0,0,0,12282.24527,3078.896085,0
WiW31,0,0,0,26096.29103,1381.09559,674.9587786
WiW32,0,0,0,34112.13568,2012.264366,2273.04561
WiW33,0,3006.231993,0,15301.62722,44549.633,0
WiW34,0,964.5194519,0,8884.89798,13278.64799,0
WiW35,0,0,0,6863.826931,0,0
WiW36,0,0,0,4775.452889,6559.42188,0
WiW37,0,0,0,18055.84785,25001.88603,1755.989963
WiW38,0,0,0,13278.64799,1629.686273,0
WiW39,0,0,0,11133.51634,158.4922935,253.3233954
WiW40,1654.707322,0,0,13948.63677,4342.161349,158.4922935
WiW41,0,0,0,12117.21424,36589.87795,1258.977261
WiW42,0,0,0,6863.826931,3773.512494,0
WiW43,0,0,0,4342.161349,0,0
WiW44,0,0,0,4198.995146,1883.536669,0
WiW45,3672.804842,0,0,28859.24975,14623.0127,253.3233954
WiW46,23993.57224,0,0,190198.7146,10808.16659,2012.264366
WiW47,0,0,0,36589.87795,1755.989963,902.6382717
WiW48,1882.150821,0,0,9201.84628,1138.443906,0
WiW49,23993.57224,0,0,43371.77549,8412.345192,1381.09559
WiW50,0,964.5194519,0,45140.15385,27934.09876,0
WiW51,0,0,0,5657.886392,1504.695226,0
WiW52,3006.231993,0,0,11133.51634,353.3291292,0
WiW53,88806.96279,0,0,188524.1048,17881.93339,5657.886392
WiW54,6734.534456,0,0,31283.29145,0,158.4922935
WiW55,0,0,0,12779.13149,0,1883.536669
WiW56,253.293549,0,0,11952.48698,787.6816644,0
WiW57,0,0,0,17534.79225,1258.977261,0
WYT01,19222.54076,0,0,27013.07844,1629.686273,787.6816644
WYT02,0,0,0,7632.761904,0,0
WYT03,0,0,0,84995.09605,15131.58394,637.9251243
WYT04,0,0,0,7632.761904,457.3677772,0
WYT05,0,0,0,3633.082838,0,0
WYT06,0,0,0,1755.989963,0,0
WYT07,0,0,0,1883.536669,0,0
WYT08,0,0,0,158.4922935,0,0
WYT09,0,0,0,12447.57709,2942.349589,1422.135573
WYT10,0,0,0,64543.08011,10808.16659,2098.711228
WYT100,0,0,0,0,0,0
WYT101,0,0,0,30721.56051,5263.200747,221.0610828
WYT102,0,0,0,4198.995146,1926.317549,0
