# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-90_Network-CorSparCC_Time0.pval0.01_cor0.2_w1-t0-d0_4invasion.tsv
# >> Input file for samples to taxa matrix: 20151016_OTU_remainder.clean.quoteFALSE.csv
# >> Identifiers of the clusters: 
# >> :  2 42 3 22 10 33 13 6 4 18 11 32 37 45 50 55
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: /home/apascual/Nextcloud/Research/Projects/FunctionalGroups/Invasion/functionInk/SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-90_AbundCum.dat
# >> Running at date:  (mm,dd,yy) 4, 10, 2020, and time: 20:16:57,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C2	C42	C3	C22	C10	C33	C13	C6	C4	C18	C11	C32	C37	C45	C50	C55	Total 
WYT49	8331.87389450146	8332.97250679012	8334.07111907879	8340.76196135621	8368.68964033142	8378.37795250229	8383.61969951735	8384.71831180602	8434.73824790403	8437.30319726149	8438.68949162261	8443.54152188653	8446.37473523059	8465.48798175612	8469.07150069458	8474.54377136825	323.672058812797
WYT77	8539.41652543924	8540.1096726198	8547.76506326463	8564.71447825375	8589.28074313844	8601.5745885377	8603.8771736307	8606.17975872369	8652.68569613049	8657.38617649629	8659.33208664534	8673.76827046054	8689.08987416008	8701.47023619071	8706.30651809766	8718.94165518355	375.927328428921
BB81	8753.6752296186	8754.36837679916	8755.46698908782	8770.28936061439	8798.83240609418	8806.59031230253	8809.36290102477	8810.46151331344	8847.21525589003	8847.21525589003	8850.39330972038	8851.08645690094	8856.59178843687	8861.56160173645	8867.59468795825	8869.38644742748	233.223061587583
AE160	8900.69843237246	8900.69843237246	8903.00101746545	8918.07389750846	8974.56989060643	8983.78023097841	8984.87884326708	8986.67060273631	9009.49035694852	9011.5697984902	9018.89626410404	9020.28255846516	9020.28255846516	9030.58267217713	9030.58267217713	9035.43470244105	352.829734961753
AE178	9093.11058857698	9096.44279308716	9105.98387502105	9117.81876803644	9148.47092921355	9152.97073888388	9153.66388606444	9154.357033245	9192.10473618938	9192.10473618938	9195.97593720029	9208.4401807149	9212.87099751374	9220.61166191566	9222.80888649299	9225.69925825089	297.401655967162
LW10	9280.48858391698	9283.37895567487	9294.02552277672	9308.69253719458	9338.30102220976	9340.60360730276	9343.31165750386	9353.50317706761	9402.20943594376	9405.79295488221	9413.41365996905	9418.09579119618	9422.99363099613	9435.01562454129	9438.23450036615	9447.04793886068	334.079161227669
HW02	9518.48140669558	9520.78399178857	9539.81109958095	9554.92546248488	9573.172493594	9577.75746107267	9577.75746107267	9581.22319697547	9626.18549570383	9636.67343102	9636.67343102	9647.34702679423	9657.16495645841	9667.12803280236	9670.68338086385	9686.64352783169	373.773289457057
WiW19	9752.96528250969	9755.79849585374	9770.31055579819	9786.90797154504	9809.69055621315	9819.19914760892	9821.90719781003	9836.51098389364	9884.92564119008	9887.41054783987	9889.89545448966	9891.68721395889	9895.47140359281	9899.16028304692	9902.33833687727	9909.61073526984	347.204687824038
BCW03	9939.23177375109	9951.40212595038	9953.88703260017	9963.58226521388	9974.41570968906	9976.90061633885	9976.90061633885	9977.59376351941	10013.6765842495	10015.9791693425	10016.672316523	10020.3611959771	10021.7474903383	10025.4363697924	10025.4363697924	10030.9170087157	158.709178832526
WYC33	10054.8172846385	10055.5104318191	10058.5061640926	10062.1950435467	10103.6325982347	10112.6117628836	10113.3049100642	10113.9980572448	10128.1254428508	10131.3034966811	10138.2600421243	10142.066704614	10147.7704870887	10162.1951967535	10162.8883439341	10165.6609326563	253.526097058933
AE82	10204.8725691539	10207.705782498	10209.0920768591	10218.1280638439	10247.6030870825	10252.6529430898	10255.5433148477	10255.5433148477	10316.3939717804	10318.4734133221	10322.6322964054	10323.325443586	10324.0185907666	10329.8357019265	10331.6274613957	10335.2109803342	281.108442622104
BB94	10378.1001295303	10385.4735038402	10386.1666510207	10390.6664606911	10429.6500038583	10434.987541938	10434.987541938	10434.987541938	10447.5974784103	10449.3892378795	10449.3892378795	10451.4686794212	10472.5823952089	10478.7768006	10478.7768006	10481.079385693	209.088319935012
WGP19	10541.100921682	10541.100921682	10542.1995339706	10558.0221185826	10574.7075695936	10574.7075695936	10576.0938639547	10577.4801583158	10592.5357807247	10593.9220750859	10597.1001289162	10598.8918883854	10599.9905006741	10604.4903103444	10604.4903103444	10608.807798458	185.058067451557
BB34	10641.6327119231	10644.2717692527	10644.2717692527	10650.0888804126	10691.3442137713	10699.3849827656	10700.9944206781	10704.2902575441	10721.3261915288	10721.3261915288	10727.3374587032	10731.4318032654	10733.9167099152	10739.8028139466	10739.8028139466	10740.9014262353	398.93581086638
WYM30	10786.1689585811	10786.8621057616	10795.069507595	10803.3474278532	10825.1756728671	10830.4937928609	10832.9786995107	10834.0773117994	10876.4319448216	10878.2237042908	10881.1140760487	10884.0044478066	10888.5687959981	10905.2889372811	10905.9820844617	10910.0764290239	262.314276225424
