OTU1	OTU2	corr	type
cedecea.spp.	trabulsiella.spp.	0.461731297585074	NA
klebsiella.pneumoniae	trabulsiella.spp.	0.63130217537831	NA
pantoea.agglomerans	trabulsiella.spp.	0.604834287483153	NA
pantoea.vagens	trabulsiella.spp.	0.323529809913125	NA
citrobacter.werkmanii	trabulsiella.spp.	0.610857197309714	NA
escherichia_shigella.spp.	serratia.quinivorans	0.44357234497955	NA
pantoea.agglomerans	serratia.quinivorans	0.289551594130147	NA
serratia.liquefaciens	serratia.quinivorans	0.776258014366264	NA
rhizobium.sullae	agrobacterium.tumefaciens	0.582011415762848	NA
rhizobium.spp.	agrobacterium.tumefaciens	0.534193694287461	NA
rhizobium.cellulosilyticus	agrobacterium.tumefaciens	0.348298274397489	NA
pseudomonas.rhizosphaerae	pseudomonas.syringae	0.391787572442777	NA
pseudomonas.marincola	pseudomonas.syringae	0.354920663609021	NA
klebsiella.pneumoniae	pseudomonas.syringae	0.405934898494875	NA
pseudomonas.vranovensis	pseudomonas.syringae	0.376013777956662	NA
pseudomonas.lutea	pseudomonas.syringae	0.331383542767943	NA
pantoea.agglomerans	pseudomonas.syringae	0.381247801664496	NA
stenotrophomonas.chelatiphaga	pseudomonas.syringae	0.323246366838277	NA
pseudomonas.plecoglossicida	pseudomonas.syringae	0.614689280984726	NA
pantoea.vagens	pseudomonas.syringae	0.343008417474899	NA
pseudomonas.thivervalensis	pseudomonas.syringae	0.305941986146894	NA
citrobacter.werkmanii	pseudomonas.syringae	0.392342794799978	NA
novosphingobium.subarcticum	pseudomonas.syringae	0.321497787234749	NA
stenotrophomonas.rhizophila	pseudomonas.syringae	0.417540455428368	NA
paucimonas.spp.	ralstonia.pickettii	0.334844420286402	NA
herbaspirillum.rubrisubalbicans	ralstonia.pickettii	0.328004209123046	NA
sphingobium.yanoikuyae	methylobacterium.thiocyanatum	0.456012682465486	NA
massilia.spp.	janthinobacterium.lividum	0.334594943528489	NA
pseudomonas.rhizosphaerae	pseudomonas.migulae	0.429813277439949	NA
pseudomonas.marincola	pseudomonas.migulae	0.418127787005238	NA
pseudomonas.vranovensis	pseudomonas.migulae	0.425434214337096	NA
pseudomonas.plecoglossicida	pseudomonas.migulae	0.546124958189094	NA
pseudomonas.tolaasii	pseudomonas.migulae	0.823014237001388	NA
pseudomonas.thivervalensis	pseudomonas.migulae	0.643307155724667	NA
pseudomonas.putida	pseudomonas.migulae	0.657698455311296	NA
pseudomonas.veronii	pseudomonas.migulae	0.569626825268224	NA
paucimonas.spp.	brevundimonas.aurantiaca	0.364043189894614	NA
herbaspirillum.spp.	brevundimonas.aurantiaca	0.433868353781275	NA
phenylobacterium.spp.	brevundimonas.aurantiaca	0.41154806153701	NA
massilia.timonae	brevundimonas.aurantiaca	0.313600408793061	NA
pseudomonas.balearica	brevundimonas.aurantiaca	0.357350891312926	NA
acinetobacter.calcoaceticus	brevundimonas.aurantiaca	0.31963199222907	NA
herbaspirillum.rubrisubalbicans	brevundimonas.aurantiaca	0.344831217934937	NA
escherichia_shigella.spp.	erwinia.persicina	0.497108056722917	NA
cedecea.spp.	erwinia.persicina	0.328577046447132	NA
klebsiella.pneumoniae	erwinia.persicina	0.561089782990557	NA
pantoea.agglomerans	erwinia.persicina	0.549304708663272	NA
pantoea.vagens	erwinia.persicina	0.808926959241212	NA
